name,value,ticks
prediction_position_error_mm,0,100000
prediction_orientation_error_deg,0,100000
prediction_position_error_mm,0,200000
prediction_orientation_error_deg,0,200000
prediction_position_error_mm,0,300000
prediction_orientation_error_deg,0,300000
prediction_position_error_mm,0,400000
prediction_orientation_error_deg,0,400000
prediction_position_error_mm,0,500000
prediction_orientation_error_deg,0,500000
prediction_position_error_mm,0,600000
prediction_orientation_error_deg,0,600000
prediction_position_error_mm,0,700000
prediction_orientation_error_deg,0,700000
prediction_position_error_mm,0,800000
prediction_orientation_error_deg,0,800000
prediction_position_error_mm,0,900000
prediction_orientation_error_deg,0,900000
prediction_position_error_mm,0,1000000
prediction_orientation_error_deg,0,1000000
prediction_position_error_mm,0,1100000
prediction_orientation_error_deg,0,1100000
prediction_position_error_mm,0,1200000
prediction_orientation_error_deg,0,1200000
prediction_position_error_mm,0,1300000
prediction_orientation_error_deg,0,1300000
prediction_position_error_mm,0,1400000
prediction_orientation_error_deg,0,1400000
prediction_position_error_mm,0,1500000
prediction_orientation_error_deg,0,1500000
prediction_position_error_mm,0,1600000
prediction_orientation_error_deg,0,1600000
prediction_position_error_mm,0,1700000
prediction_orientation_error_deg,0,1700000
prediction_position_error_mm,0,1800000
prediction_orientation_error_deg,0,1800000
prediction_position_error_mm,0,1900000
prediction_orientation_error_deg,0,1900000
prediction_position_error_mm,1299.9999523162842,2000000
prediction_orientation_error_deg,0,2000000
prediction_position_error_mm,1300.0023365020752,2100000
prediction_orientation_error_deg,0,2100000
prediction_position_error_mm,1300.0091314315796,2200000
prediction_orientation_error_deg,0,2200000
prediction_position_error_mm,1300.020456314087,2300000
prediction_orientation_error_deg,0,2300000
prediction_position_error_mm,1300.0361919403076,2400000
prediction_orientation_error_deg,0,2400000
prediction_position_error_mm,1300.0564575195312,2500000
prediction_orientation_error_deg,0,2500000
prediction_position_error_mm,1300.0812530517578,2600000
prediction_orientation_error_deg,0,2600000
prediction_position_error_mm,1300.1103401184082,2700000
prediction_orientation_error_deg,0,2700000
prediction_position_error_mm,1300.143837928772,2800000
prediction_orientation_error_deg,0,2800000
prediction_position_error_mm,1300.1817464828491,2900000
prediction_orientation_error_deg,0,2900000
prediction_position_error_mm,1300.2238273620605,3000000
prediction_orientation_error_deg,0,3000000
prediction_position_error_mm,1300.2701997756958,3100000
prediction_orientation_error_deg,0,3100000
prediction_position_error_mm,1300.3205060958862,3200000
prediction_orientation_error_deg,0,3200000
prediction_position_error_mm,1300.3751039505005,3300000
prediction_orientation_error_deg,0,3300000
prediction_position_error_mm,1300.4335165023804,3400000
prediction_orientation_error_deg,0,3400000
prediction_position_error_mm,1300.495982170105,3500000
prediction_orientation_error_deg,0,3500000
prediction_position_error_mm,1300.5622625350952,3600000
prediction_orientation_error_deg,0,3600000
prediction_position_error_mm,1300.632119178772,3700000
prediction_orientation_error_deg,0,3700000
prediction_position_error_mm,1300.7055521011353,3800000
prediction_orientation_error_deg,0,3800000
owd_uplink_ms,183.1531,3900000
owd_downlink_ms,183.1531,3900000
correction_magnitude_mm,1299.9999523162842,2004020
correction_magnitude_deg,0,2004020
prediction_position_error_mm,94.46661174297333,3900000
prediction_orientation_error_deg,0,3900000
owd_uplink_ms,187.925,4000000
owd_downlink_ms,189.242,4000000
prediction_position_error_mm,94.38017755746841,4000000
prediction_orientation_error_deg,0,4000000
owd_uplink_ms,186.7593,4100000
owd_downlink_ms,184.7753,4100000
prediction_position_error_mm,94.28514540195465,4100000
prediction_orientation_error_deg,0,4100000
owd_uplink_ms,189.0103,4200000
owd_downlink_ms,181.5696,4200000
prediction_position_error_mm,94.18153017759323,4200000
prediction_orientation_error_deg,0,4200000
owd_uplink_ms,183.7331,4300000
owd_downlink_ms,181.1156,4300000
prediction_position_error_mm,94.06935423612595,4300000
prediction_orientation_error_deg,0,4300000
owd_uplink_ms,180.1577,4400000
owd_downlink_ms,188.4789,4400000
prediction_position_error_mm,93.94862502813339,4400000
prediction_orientation_error_deg,0,4400000
owd_uplink_ms,182.1792,4500000
owd_downlink_ms,184.2318,4500000
prediction_position_error_mm,93.81937980651855,4500000
prediction_orientation_error_deg,0,4500000
owd_uplink_ms,187.0323,4600000
owd_downlink_ms,185.0108,4600000
prediction_position_error_mm,93.68160367012024,4600000
prediction_orientation_error_deg,0,4600000
owd_uplink_ms,186.2734,4700000
owd_downlink_ms,187.0528,4700000
prediction_position_error_mm,93.53533387184143,4700000
prediction_orientation_error_deg,0,4700000
owd_uplink_ms,183.6384,4800000
owd_downlink_ms,185.5479,4800000
prediction_position_error_mm,93.38060766458511,4800000
prediction_orientation_error_deg,0,4800000
owd_uplink_ms,185.0944,4900000
owd_downlink_ms,183.874,4900000
prediction_position_error_mm,93.21741759777069,4900000
prediction_orientation_error_deg,0,4900000
owd_uplink_ms,188.6741,5000000
owd_downlink_ms,189.0486,5000000
prediction_position_error_mm,93.04583072662354,5000000
prediction_orientation_error_deg,0,5000000
owd_uplink_ms,184.9492,5100000
owd_downlink_ms,185.0534,5100000
prediction_position_error_mm,92.86580979824066,5100000
prediction_orientation_error_deg,0,5100000
owd_uplink_ms,182.773,5200000
owd_downlink_ms,186.4714,5200000
prediction_position_error_mm,92.67744421958923,5200000
prediction_orientation_error_deg,0,5200000
owd_uplink_ms,188.0564,5300000
owd_downlink_ms,186.6409,5300000
prediction_position_error_mm,92.48072654008865,5300000
prediction_orientation_error_deg,0,5300000
owd_uplink_ms,182.6865,5400000
owd_downlink_ms,186.7369,5400000
prediction_position_error_mm,92.27568656206131,5400000
prediction_orientation_error_deg,0,5400000
owd_uplink_ms,186.9668,5500000
owd_downlink_ms,187.0629,5500000
prediction_position_error_mm,92.06237643957138,5500000
prediction_orientation_error_deg,0,5500000
owd_uplink_ms,186.2139,5600000
owd_downlink_ms,180.363,5600000
prediction_position_error_mm,91.84082597494125,5600000
prediction_orientation_error_deg,0,5600000
owd_uplink_ms,180.9454,5700000
owd_downlink_ms,181.2599,5700000
prediction_position_error_mm,91.61102771759033,5700000
prediction_orientation_error_deg,0,5700000
owd_uplink_ms,183.8733,5800000
owd_downlink_ms,184.7709,5800000
prediction_position_error_mm,91.37307852506638,5800000
prediction_orientation_error_deg,0,5800000
owd_uplink_ms,186.1177,5900000
owd_downlink_ms,183.168,5900000
prediction_position_error_mm,91.12696349620819,5900000
prediction_orientation_error_deg,0,5900000
owd_uplink_ms,185.5222,6000000
owd_downlink_ms,184.2629,6000000
prediction_position_error_mm,90.87274223566055,6000000
prediction_orientation_error_deg,0,6000000
owd_uplink_ms,186.7146,6100000
owd_downlink_ms,185.6834,6100000
prediction_position_error_mm,90.61045944690704,6100000
prediction_orientation_error_deg,0,6100000
owd_uplink_ms,180.8267,6200000
owd_downlink_ms,182.7922,6200000
prediction_position_error_mm,90.34013748168945,6200000
prediction_orientation_error_deg,0,6200000
owd_uplink_ms,183.9523,6300000
owd_downlink_ms,186.9174,6300000
prediction_position_error_mm,90.06184339523315,6300000
prediction_orientation_error_deg,0,6300000
owd_uplink_ms,184.3128,6400000
owd_downlink_ms,181.5878,6400000
prediction_position_error_mm,89.77557718753815,6400000
prediction_orientation_error_deg,0,6400000
owd_uplink_ms,181.0222,6500000
owd_downlink_ms,185.008,6500000
prediction_position_error_mm,89.48144316673279,6500000
prediction_orientation_error_deg,0,6500000
owd_uplink_ms,186.6964,6600000
owd_downlink_ms,187.0306,6600000
prediction_position_error_mm,89.17944878339767,6600000
prediction_orientation_error_deg,0,6600000
